Reference (don't copy),ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ni,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,6.5,NA,4.7,1.2,16,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Hg,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,52,NA,160,1.4,220,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Pb,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.92,NA,0.68,0.19,1.9,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Mn,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,4.6,NA,1.6,2.5,7.2,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Sr,heavy metals,kidney,NA,1,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.3,NA,NA,NA,NA,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,As,heavy metals,kidney,NA,4,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.079,NA,0.069,0.005,0.17,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cr,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.058,NA,0.077,0.01,0.23,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,V,heavy metals,kidney,NA,9,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.35,NA,0.32,0.01,1.1,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Y,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0021,NA,0.0013,0.0009,0.0047,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ag,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.037,NA,0.044,0.003,0.13,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.5,NA,1.6,0.029,4.4,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,In,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0041,NA,0.0034,0.0009,0.0093,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cs,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.058,NA,0.056,0.005,0.18,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,La,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0031,NA,0.0017,0.0009,0.0058,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ce,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0068,NA,0.0037,0.0028,0.013,?g/g ,dry,no,none,none,
Falandysz et al. 2001,162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Pr,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,
