"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"24",24,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",76,79,24,"Europe"
"25",25,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",14,79,24,"Europe"
"26",26,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",51,79,24,"Europe"
"27",27,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"43","190","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",110,79,24,"Europe"
"28",28,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1985","1989","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"120","500","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",310,79,24,"Europe"
"29",29,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",49,79,24,"Europe"
"30",30,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1990","1994","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,NA,NA,"µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",190,79,24,"Europe"
"31",31,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"30","200","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",78,79,24,"Europe"
"32",32,90,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden","1995","1997","Sweden","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","1.00E-03",NA,"140","990","µg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",560,79,24,"Europe"
"33",33,112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p'-DDE","organochlorine insecticides","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"13.33","0.64","ng g-1","wet","no","none","none",4.8,71,20,"Asia"
