"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"2567",2567,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B3",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1.8,21,25,"Europe"
"2568",2568,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B4",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",13,21,25,"Europe"
"2569",2569,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B5",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2570",2570,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B6",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2571",2571,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B7",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.68,21,25,"Europe"
"2572",2572,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B8",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.84,21,25,"Europe"
"2573",2573,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B9",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.68,21,25,"Europe"
"2574",2574,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B10",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",17,21,25,"Europe"
"2575",2575,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B11",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",13,21,25,"Europe"
"2576",2576,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B12",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.7,21,25,"Europe"
"2577",2577,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B13",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2578",2578,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B14",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2579",2579,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B15",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2580",2580,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B16",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",11,21,25,"Europe"
"2581",2581,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B17",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2582",2582,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B18",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2583",2583,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B19",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5.6,21,25,"Europe"
"2584",2584,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B20",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2585",2585,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B21",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2586",2586,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B22",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",3.9,21,25,"Europe"
"2587",2587,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B23",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.74,21,25,"Europe"
"2588",2588,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B24",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.87,21,25,"Europe"
"2589",2589,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B25",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",0.96,21,25,"Europe"
"2590",2590,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B26",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2591",2591,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B27",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",6,21,25,"Europe"
"2592",2592,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B28",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",6.8,21,25,"Europe"
"2593",2593,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B29",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5.6,21,25,"Europe"
"2594",2594,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B30",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2595",2595,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B31",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2596",2596,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B32",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5.6,21,25,"Europe"
"2597",2597,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B33",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",31,21,25,"Europe"
"2598",2598,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B34",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2.1,21,25,"Europe"
"2599",2599,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B35",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1.7,21,25,"Europe"
"2600",2600,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B36",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",8.1,21,25,"Europe"
"2601",2601,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B37",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2602",2602,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B38",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2,21,25,"Europe"
"2603",2603,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","brain","B39",1,NA,NA,"immature","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",NA,21,25,"Europe"
"2604",2604,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B1",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",173,21,25,"Europe"
"2605",2605,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B5",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",179,21,25,"Europe"
"2606",2606,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B6",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",770,21,25,"Europe"
"2607",2607,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B7",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",566,21,25,"Europe"
"2608",2608,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B8",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1031,21,25,"Europe"
"2609",2609,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B9",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",392,21,25,"Europe"
"2610",2610,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B10",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2045,21,25,"Europe"
"2611",2611,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B12",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",435,21,25,"Europe"
"2612",2612,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B13",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",943,21,25,"Europe"
"2613",2613,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B14",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1367,21,25,"Europe"
"2614",2614,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B15",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1339,21,25,"Europe"
"2615",2615,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B16",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",3471,21,25,"Europe"
"2616",2616,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B17",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1563,21,25,"Europe"
"2617",2617,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B18",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",470,21,25,"Europe"
"2618",2618,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B19",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5351,21,25,"Europe"
"2619",2619,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B20",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1932,21,25,"Europe"
"2620",2620,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B25",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2318,21,25,"Europe"
"2621",2621,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B26",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1477,21,25,"Europe"
"2622",2622,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B27",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",749,21,25,"Europe"
"2623",2623,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B30",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1026,21,25,"Europe"
"2624",2624,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B31",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1180,21,25,"Europe"
"2625",2625,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B34",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2177,21,25,"Europe"
"2626",2626,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B35",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",302,21,25,"Europe"
"2627",2627,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B37",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",1476,21,25,"Europe"
"2628",2628,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Total PCBs","PCBs","adipose","B39",1,NA,NA,"immature","unknown/mixed","n=1","each PCB varied",NA,"n=1","n=1","ng/g","wet","no","none","none",2177,21,25,"Europe"
"2629",2629,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B1",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",8.6,21,25,"Europe"
"2630",2630,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B5",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",3,21,25,"Europe"
"2631",2631,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B6",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",21,21,25,"Europe"
"2632",2632,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B7",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",8.7,21,25,"Europe"
"2633",2633,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B8",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",25,21,25,"Europe"
"2634",2634,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B9",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",24,21,25,"Europe"
"2635",2635,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B10",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",185,21,25,"Europe"
"2636",2636,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B12",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",16,21,25,"Europe"
"2637",2637,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B13",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",16,21,25,"Europe"
"2638",2638,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B14",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",19,21,25,"Europe"
"2639",2639,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B15",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",26,21,25,"Europe"
"2640",2640,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B16",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",19,21,25,"Europe"
"2641",2641,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B17",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",30,21,25,"Europe"
"2642",2642,209,"Distribution of polychlorinated biphenyls and polybrominated diphenyl ethers in birds of prey from Switzerland","2003","2005","Switzerland","Common Buzzard","Buteo buteo","wild","Sum of all PBDEs","flame retardants","adipose","B18",1,NA,NA,"unknown/mixed","unknown/mixed","n=1","each BDE varied",NA,"n=1","n=1","ng/g","wet","no","none","none",5.2,21,25,"Europe"
