IOCOrder,BLFamilyLatin,BLFamilyEnglish,sci_name,common_name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
Strigiformes,Strigidae,Owls,Megascops clarkii,Bare-shanked Screech-owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,30,30,30,10,0,0,Ref_5,1,Christian,1,158.46,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops barbarus,Bearded Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,20,20,20,0,0,Ref_5,1,Christian,1,69,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops ingens,Rufescent Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,0,0,50,50,0,0,Ref_5,1,Christian,1,165.32,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops marshalli,Cloud-forest Screech-owl,90,10,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,D1,Hamish,0,0,0,0,30,70,0,0,Ref_5,1,Christian,1,101,PrimScale,1,,
Strigiformes,Strigidae,Owls,Megascops watsonii,Tawny-bellied Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,20,50,30,0,0,0,Ref_5,1,Other,1,129,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops atricapilla,Black-capped Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,10,10,20,60,0,0,Ref_5,1,Other,1,118.89,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops hoyi,Montane Forest Screech-owl,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,30,20,20,30,0,0,Ref_5,1,Christian,1,110,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops guatemalae,Vermiculated Screech-owl,90,0,0,0,10,0,0,0,0,0,Invertebrate,Ref_5,B,Hamish,0,0,30,20,20,30,0,0,Ref_5,1,Christian,1,118,Dunning08,1,,
Strigiformes,Strigidae,Owls,Megascops sanctaecatarinae,Long-tufted Screech-owl,50,0,0,0,50,0,0,0,0,0,Omnivore,Ref_5,A,Hamish,0,0,50,50,0,0,0,0,Ref_5,1,Christian,1,179.72,Dunning08,1,,
Strigiformes,Strigidae,Owls,Gymnoglaux lawrencii,Bare-legged Owl,90,0,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,20,10,10,0,0,Ref_5,1,Christian,1,95.2,Dunning08,1,,
