"","ID","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","concentration..ND.for.non.detects.","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","Continent","BodyMass.Value","Title"
"24",90,"1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","76","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"25",90,"1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","14","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"26",90,"1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Lapland",6,NA,NA,"egg(s)","unknown/mixed","geometric mean","51","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"27",90,"1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","110","1E-3",NA,"43","190","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"28",90,"1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","310","1E-3",NA,"120","500","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"29",90,"1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","49","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"30",90,"1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","190","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"31",90,"1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","78","1E-3",NA,"30","200","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"32",90,"1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","560","1E-3",NA,"140","990","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27,"The role of DDE, PCB, coplanar PCB and eggshell parameters for reproduction in the white-tailed sea eagle (Haliaeetus albicilla) in Sweden"
"33",112,"unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","4.8","0.02",NA,"13.33","0.64","ng g−1","wet","no","none","none","Asia",112,"Oxidative stress responses in relationship to persistent organic pollutant levels in feathers and blood of two predatory bird species from Pakistan"
