ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,K,metal,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,8800,NA,2500,7000,15000,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,S,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,14000,NA,1600,12000,17000,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,P,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,9500,NA,2000,5300,13000,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Na,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,5000,NA,1000,3500,7400,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Mg,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,750,NA,180,450,1100,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ca,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,880,NA,940,300,3600,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Fe,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1200,NA,840,210,2900,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Zn,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,140,NA,85,59,360,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Rb,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,15,NA,5,6.7,26,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cu,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,14,NA,9,6.6,40,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ni,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,6.5,NA,4.7,1.2,16,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Hg,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,52,NA,160,1.4,220,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Pb,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.92,NA,0.68,0.19,1.9,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Mn,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,4.6,NA,1.6,2.5,7.2,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Sr,heavy metals,kidney,NA,1,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.3,NA,NA,NA,NA,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,As,heavy metals,kidney,NA,4,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.079,NA,0.069,0.005,0.17,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cr,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.058,NA,0.077,0.01,0.23,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,V,heavy metals,kidney,NA,9,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.35,NA,0.32,0.01,1.1,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Y,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0021,NA,0.0013,0.0009,0.0047,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ag,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.037,NA,0.044,0.003,0.13,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.5,NA,1.6,0.029,4.4,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,In,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0041,NA,0.0034,0.0009,0.0093,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Cs,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.058,NA,0.056,0.005,0.18,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,La,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0031,NA,0.0017,0.0009,0.0058,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Ce,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0068,NA,0.0037,0.0028,0.013,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Pr,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Nd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0027,NA,0.0013,0.001,0.004,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Sm,heavy metals,kidney,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,NA,0.0009,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Eu,heavy metals,kidney,NA,NA,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,NA,NA,NA,NA,NA,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Gd,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0014,NA,0.0005,0.0009,0.002,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Dy,heavy metals,kidney,NA,4,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0.0001,0.0009,0.001,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Tl,heavy metals,kidney,NA,10,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.031,NA,0.019,0.003,0.065,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Bi,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.043,NA,0.002,0.0019,0.0086,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,Th,heavy metals,kidney,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0018,NA,0.001,0.001,0.003,?g/g ,dry,no,none,none,,,
162,Metallic elements and metal po,1991-1995,Poland,White-tailed Eagle,Haliaeetus albicilla,wild,U,heavy metals,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.001,NA,0,0.001,0.001,?g/g ,dry,no,none,none,,,
163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Hg,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.23,NA,0.247,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,,,
163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Pb,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.818,NA,0.393,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,,,
163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Cd,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,0.126,NA,0.136,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,,,
163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Cu,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,1.989,NA,2.691,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,,,
163,ORGANOCHLORINE AND HEAVY-METAL,"1979, 1981-1984 ",Spain,Spanish Imperial Eagle,Aquila adalberti,wild,Zn,heavy metals,egg(s),NA,10,NA,NA,egg(s),unknown/mixed,arithmetic mean,11.927,NA,5.704,NA,NA,?g/g ,wet,yes,"Egg shell thickness, clutch size, hatching success, reproductive success",Nesting Success,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Total PCBs,PCB,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,7.56,NA,NA,2.86,21.21,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Total PCBs,PCB,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,9.5,NA,NA,3.58,20.44,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,a-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.6,NA,NA,0.03,0.94,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,b-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.93,NA,NA,0.66,2.88,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Lindane,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.08,NA,NA,0.41,1.64,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,d-HCH,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.28,NA,NA,0.03,0.66,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Aldrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.29,NA,NA,0.03,2.19,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Dieldrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.32,NA,NA,0.04,2.12,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Endrin,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.13,NA,NA,0.05,0.9,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Heptachlor,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.82,NA,NA,0.39,2.09,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Heptachlor epoxide,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.24,NA,NA,0.04,1.04,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Cinereous Vulture,Aegypius monachus,wild,Chlordane,organochlorine insecticides,blood,NA,30,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.05,NA,NA,0.04,0.61,ng/g,wet,no,none,none,Toxicant referred to as y-chlordane,,
