"","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"28",90,"The role of DDE, PCB, coplanar","1985","1989","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",3,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,"120","500","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",310,87,24,"Europe"
"29",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",49,87,24,"Europe"
"30",90,"The role of DDE, PCB, coplanar","1990","1994","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",4,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,NA,NA,"μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",190,87,24,"Europe"
"31",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","DDE","organochlorine insecticides","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,"30","200","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",78,87,24,"Europe"
"32",90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","1E-3",NA,"140","990","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success",560,87,24,"Europe"
"33",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.02",NA,"13.33","0.64","ng g−1","wet","no","none","none",4.8,78,20,"Asia"
"34",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,6,NA,0.16,"adult","unknown/mixed","arithmetic mean","0.02",NA,NA,NA,"ng g−1","wet","no","none","none",NA,78,20,"Asia"
"35",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.03","0.01","ng g−1","dry","no","none","none",0.01,78,20,"Asia"
"36",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.05",NA,"54.59","7.52","ng g−1","dry","no","none","none",25.78,78,20,"Asia"
"37",112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01",NA,"0.71","0.05","ng g−1","dry","no","none","none",0.31,78,20,"Asia"
