"","ID","Title","study period","country","Species (English name)","Species (scientific name)","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes","...29","...30"
"26",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDE","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","10","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"27",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDT","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","7.0000000000000007E-2","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"28",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.84","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"29",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","PCB","PCB","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.79","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"30",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Heptachlor epoxide","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.27","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"31",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.13","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"32",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.1","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"33",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Hexachlorobenzene","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.31","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"34",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","Endrin","organochlorine insecticides","egg(s)","1982, Site E:C, egg 2",1,"NA","NA","egg(s)","unknown/mixed","n=1","0.02","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
"35",133,"Pesticide residues in Arizona","1978-1985","United States of America","Peregrine Falcon","Falco peregrinus","wild","p,p'-DDE","organochlorine insecticides","egg(s)","1982, Site E:C, egg 3",1,"NA","NA","egg(s)","unknown/mixed","n=1","6.4","0.02-0.03 wet","NA","n=1","n=1","ppm","dry","yes","egg shell thickness","Fecundity","Also measured productivity",NA,NA
