C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1980–1984,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,18,NA,NA,NA,unknown/mixed,geometric mean,1000,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,31,NA,NA,NA,unknown/mixed,geometric mean,250,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,31,NA,NA,NA,unknown/mixed,geometric mean,740,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,17,NA,NA,NA,unknown/mixed,geometric mean,170,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,17,NA,NA,NA,unknown/mixed,geometric mean,540,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,5,NA,NA,NA,unknown/mixed,geometric mean,110,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,5,NA,NA,NA,unknown/mixed,geometric mean,390,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1966,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Baltic sea coast,1,NA,NA,NA,unknown/mixed,geometric mean,250,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1966,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Baltic sea coast,1,NA,NA,NA,unknown/mixed,geometric mean,310,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1977–1979,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Lapland,3,NA,NA,NA,unknown/mixed,geometric mean,130,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1977–1979,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Lapland,3,NA,NA,NA,unknown/mixed,geometric mean,250,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1980–1984,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Lapland,10,NA,NA,NA,unknown/mixed,geometric mean,57,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1980–1984,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Lapland,10,NA,NA,NA,unknown/mixed,geometric mean,200,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Lapland,5,NA,NA,NA,unknown/mixed,geometric mean,33,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Lapland,5,NA,NA,NA,unknown/mixed,geometric mean,130,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Lapland,10,NA,NA,NA,unknown/mixed,geometric mean,20,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1990–1994,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Lapland,10,NA,NA,NA,unknown/mixed,geometric mean,76,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Lapland,6,NA,NA,NA,unknown/mixed,geometric mean,14,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1995–1997,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,PCBs,tot-PCB,eggs,Lapland,6,NA,NA,NA,unknown/mixed,geometric mean,51,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
Helander et al. 2002,2002,1985–1989,Sweden,Haliaeetus albicilla,White-tailed Eagle,wild,organochlorine insecticides,DDE,eggs,Inland central Sweden,3,NA,NA,NA,unknown/mixed,geometric mean,110,NA,NA,NA,NA,?g/g,wet,yes,fecundity,,,,,,,,,,,,,,,,,,
