C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Oxychlordane,eggs,Upper Chesapeake Bay,7,NA,1,eggs,unknown/mixed,geometric mean,0.29,NA,NA,0.19,0.44,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Atlantic-New Jersey,41,NA,1,eggs,unknown/mixed,geometric mean,0.2,NA,NA,0.03,1.78,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Costal - Virginia,17,NA,1,eggs,unknown/mixed,geometric mean,0.12,NA,NA,0.01,0.43,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Delaware River,12,NA,0.8,eggs,unknown/mixed,geometric mean,0.03,NA,NA,0.01,0.13,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Middle Chesapeake Bay,11,NA,1,eggs,unknown/mixed,geometric mean,0.15,NA,NA,0.07,0.26,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Mountain,2,NA,1,eggs,unknown/mixed,geometric mean,0.02,NA,NA,NA,NA,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Norfolk area,3,NA,1,eggs,unknown/mixed,geometric mean,0.08,NA,NA,0.04,0.18,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Trans-nonachlor,eggs,Upper Chesapeake Bay,7,NA,1,eggs,unknown/mixed,geometric mean,0.08,NA,NA,0.05,0.14,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Atlantic-New Jersey,41,NA,0.94,eggs,unknown/mixed,geometric mean,0.01,NA,NA,0.002,0.045,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Costal - Virginia,17,NA,1,eggs,unknown/mixed,geometric mean,0.012,NA,NA,0.004,0.037,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Delaware River,12,NA,0.6,eggs,unknown/mixed,geometric mean,0.005,NA,NA,0.001,0.016,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Middle Chesapeake Bay,11,NA,1,eggs,unknown/mixed,geometric mean,0.012,NA,NA,0.005,0.021,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Mountain,2,NA,1,eggs,unknown/mixed,geometric mean,0.002,NA,NA,NA,NA,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Norfolk area,3,NA,1,eggs,unknown/mixed,geometric mean,0.007,NA,NA,0.005,0.011,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,Hexachlorobenzene,eggs,Upper Chesapeake Bay,7,NA,1,eggs,unknown/mixed,geometric mean,0.011,NA,NA,0.009,0.014,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Atlantic-New Jersey,41,NA,1,eggs,unknown/mixed,geometric mean,0.12,NA,NA,0.02,0.47,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Costal - Virginia,17,NA,1,eggs,unknown/mixed,geometric mean,0.13,NA,NA,0.06,0.34,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Delaware River,12,NA,1,eggs,unknown/mixed,geometric mean,0.05,NA,NA,0.03,0.09,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Middle Chesapeake Bay,11,NA,1,eggs,unknown/mixed,geometric mean,0.09,NA,NA,0.06,0.17,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Mountain,2,NA,1,eggs,unknown/mixed,geometric mean,0.03,NA,NA,0.03,0.04,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Norfolk area,3,NA,1,eggs,unknown/mixed,geometric mean,0.09,NA,NA,0.07,0.11,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,heptachlor epoxide,eggs,Upper Chesapeake Bay,7,NA,1,eggs,unknown/mixed,geometric mean,0.14,NA,NA,0.07,0.27,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,mirex,eggs,Atlantic-New Jersey,41,NA,1,eggs,unknown/mixed,geometric mean,0.193,NA,NA,0.07,1.026,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,mirex,eggs,Costal - Virginia,17,NA,1,eggs,unknown/mixed,geometric mean,0.087,NA,NA,0.03,0.211,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,mirex,eggs,Delaware River,12,NA,0.8,eggs,unknown/mixed,geometric mean,0.06,NA,NA,0.032,0.1,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,mirex,eggs,Middle Chesapeake Bay,11,NA,1,eggs,unknown/mixed,geometric mean,0.103,NA,NA,0.063,0.236,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
Clark et al. 2009,2009,1993-1999,United States of America,Falco peregrinus,Peregrine Falcon,wild,organochlorine insecticides,mirex,eggs,Mountain,2,NA,1,eggs,unknown/mixed,geometric mean,0.059,NA,NA,NA,NA,mg/kg,wet,yes,Nesting Success,Eggshell thickness,"Eggshell thickness showed no evidence of deviation from normality (Shapiro–Wilks test, p = 0.134; SAS UNI-VARIATE; SAS Institute 1999). The mean thickness was 0.336 mm (standard error = 0.003, n = 93) and was significantly thinner (10.4%; Student t-test, a = 0.05) than the pre-1947 mean eggshell thickness of 0.375 mm. There was no significant eggshell thickness change from 1993 to 1999 (p = 0.581). The mean eggshell thicknesses of Delaware River (DR) and middle Chesapeake Bay (MCB) were significantly greater than those from Atlantic–New Jersey (ANJ), and the DR thickness was significantly greater than the Coastal-VA (CVA) eggs (a = 0.05). Eggshells from Norfolk-area (NOR), Upper Chesapeake Bay (UCB), and Mountain (MOU) were not found to be different from the other four areas ",,,,,,,,,,,,,,,,
